variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|++|Crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|++|Secondary products;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Production|+|Secondary products;Mt DM/yr;-1;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|++|Livestock products;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|Feed|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;Demand|Material|+|Crop residues;Mt DM/yr;;;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;Demand|++|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;Demand|++|Secondary products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;Production|+|Secondary products;Mt DM/yr;-1;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Bioenergy;million t DM/yr;1;Demand for bioenergy crops (1st & 2nd generation);;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy;million t DM/yr;1;Demand for bioenergy crops (1st & 2nd generation);;Demand|Bioenergy|+|Crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy;million t DM/yr;1;Demand for bioenergy crops (1st & 2nd generation);;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|1st Generation;million t DM/yr;2;Demand for 1st generation bioenergy crops (sugar, starch and oil crops);;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|1st Generation;million t DM/yr;2;Demand for 1st generation bioenergy crops (sugar, starch and oil crops);;Demand|Bioenergy|+|Crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|2nd Generation;million t DM/yr;1;Demand for second-generation bioenergy crops (short rotation grasses, short rotation trees);;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Demand|Livestock;million t DM/yr;1;Demand for livestock products (excluding fish);;Demand|++|Livestock products;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Production|Crops;million t DM/yr;1;Production of crops;;Production|+|Crops;Mt DM/yr;;;M;
Agricultural Production|Crops;million t DM/yr;1;Production of crops;;Production|+|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Production|Crops|Energy Crops;million t DM/yr;2;Production of second-generation bioenergy crops (short rotation grasses, short rotation trees);;Production|+|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Production|Livestock;million t DM/yr;1;Production of livestock products (excluding fish);;Production|+|Livestock products;Mt DM/yr;;;M;
Carbon Removal|Land Use;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Peatland negative CO2 emissions - very small;M;
Carbon Removal|Land Use|Agroforestry;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through intentionally integrating trees with crops or pasture on the same land;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Biochar;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through conversion of biomass to recalcitrant carbon via pyrolysis and its subsequent application to croplands to increase soil carbon stocks;Values should be reported as positive numbers.;;;;not represented yet;;
Carbon Removal|Land Use|Forest Management;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through improved forest management;Values should be reported as positive numbers.;;;;not represented;;
Carbon Removal|Land Use|Other;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through other land-related CDR methods;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Peatland negative CO2 emissions - very small;M;
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Re/Afforestation|Natural Forest;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR|+|Natural Forest;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Re/Afforestation|Natural Forest;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through reforestation and/or afforestation for carbon sequestration with native tree species resembling natural vegetation;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Re/Afforestation|Plantation;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through reforestation and/or afforestation for carbon sequestration with non-native species and/or as monoculture plantation;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR|+|Plantation;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Soil Carbon Management;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of soils;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Soil Carbon Management|Cropland;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of cropland soils;Values should be reported as positive numbers.;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;;M;
Carbon Removal|Land Use|Soil Carbon Management|Grassland;Mt CO2/yr;2;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of grassland soils;Values should be reported as positive numbers.;;;;not represented yet;;
Emissions|CH4|AFOLU;Mt CH4/yr;1;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;This variable reports the sum of sources and sinks including land-use methods such as soil carbon sequestration, biochar, forestry, and re/afforestation and agroforestry. It uses the model/scientific definition of AFOLU, and does not align with the reporting of national greenhouse gas inventories (NGHGI). For NGHGI-aligned reporting, see 'Emissions|*|AFOLU [NGHGI]'. Emissions reported in this category represent fluxes to/from the atmosphere from/to the land pool. For a breakdown of carbon removals, see the 'Carbon Removal|*' variables.;Emissions|CH4|Land;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture;Mt CH4/yr;2;Emissions of methane (CH4) from the agriculture sector (IPCC 1996 category 4 - IPCC 2006 category 3A and 3C except 3C1);;Emissions|CH4|Land|+|Agriculture;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture|Livestock;Mt CH4/yr;2;Emissions of methane (CH4) from livestock in the agriculture sector (IPCC 1996 category 4A and 4B - IPCC 2006 category 3A);;Emissions|CH4|Land|Agriculture|+|Enteric fermentation;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture|Livestock;Mt CH4/yr;2;Emissions of methane (CH4) from livestock in the agriculture sector (IPCC 1996 category 4A and 4B - IPCC 2006 category 3A);;Emissions|CH4|Land|Agriculture|+|Animal waste management;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture|Livestock|Enteric Fermentation;Mt CH4/yr;3;Emissions of methane (CH4) from enteric fermentation of livestock (IPCC 1996 category 4A - IPCC 2006 category 3A1) in the agriculture sector;;Emissions|CH4|Land|Agriculture|+|Enteric fermentation;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management;Mt CH4/yr;3;Emissions of methane (CH4) from processes involving manure (waste) management in Livestock in the agriculture sector (IPCC 1996 category 4B - IPCC 2006 category 3A2);;Emissions|CH4|Land|Agriculture|+|Animal waste management;Mt CH4/yr;;;M;linear
Emissions|CH4|AFOLU|Agriculture|Rice;Mt CH4/yr;3;Emissions of methane (CH4) from rice cultivation (IPCC 1996 category 4C - IPCC 2006 category 3C7);;Emissions|CH4|Land|Agriculture|+|Rice;Mt CH4/yr;;;M;linear
