variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Discount Rate;%;;;;;;;;;
Final Energy|Residential|Appliances|Electricity [per capita];GJ/yr/cap;;;;;;;;;
Final Energy|Residential|Space Cooling [per capita];GJ/yr/cap;;;;;;;;;
Final Energy|Residential|Space Heating [per capita];GJ/yr/cap;;;;;;;;;
Inequality Index|Gini;unitless;;;;;;;;;
Inequality Index|Palma Ratio;unitless;;;;;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Atmospheric Deposition;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation|Freeliving Microorganisms;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation|Symbiotic Crops;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Fertilizer;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure Recycled from Confinements;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Ash from Burned Crop Residues;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Belowground Crop Residues;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Seed;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Inputs|Recycled Aboveground Crop Residues;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Withdrawals;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Withdrawals;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Withdrawals|Aboveground Crop Residues;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Withdrawals|+|Aboveground Crop Residues;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Withdrawals|Belowground Crop Residues;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Withdrawals|+|Belowground Crop Residues;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Cropland Budget|Withdrawals|Harvested Crops;Tg N/yr;;;;Resources|Nitrogen|Cropland Budget|Withdrawals|+|Harvested Crops;Mt Nr/yr;;;M;
Nutrients|Nitrogen|Natural Land Budget|Inputs;Tg N/yr;;;;;;;;;
Nutrients|Nitrogen|Natural Land Budget|Inputs|Atmospheric Deposition;Tg N/yr;;;;;;;;;
Nutrients|Nitrogen|Natural Land Budget|Inputs|Biological Fixation;Tg N/yr;;;;;;;;;
Nutrients|Nitrogen|Natural Land Budget|Inputs|Other;Tg N/yr;;;;;;;;;
Nutrients|Nitrogen|Pasture Budget|Inputs;Tg N/yr;;;;Resources|Nitrogen|Pasture Budget|Inputs;Mt Nr/yr;;;Mx;
Nutrients|Nitrogen|Pasture Budget|Inputs|Atmospheric Deposition;Tg N/yr;;;;Resources|Nitrogen|Pasture Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;Mx;
Nutrients|Nitrogen|Pasture Budget|Inputs|Biological Fixation;Tg N/yr;;;;Resources|Nitrogen|Pasture Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Mx;
Nutrients|Nitrogen|Pasture Budget|Inputs|Fertilizer;Tg N/yr;;;;Resources|Nitrogen|Pasture Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Mx;
Nutrients|Nitrogen|Pasture Budget|Inputs|Manure;Tg N/yr;;;;Resources|Nitrogen|Pasture Budget|Inputs|+|Manure From Grazing;Mt Nr/yr;;;Mx;
