variable;unit;piam_variable;piam_unit;piam_factor;description;comment;internal_comment;source
Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;Emissions|CO2|Energy|Supply|Electricity;Mt CO2/yr;1;;;;L
Final Energy|Residential and Commercial|Heat;EJ/yr;Final Energy|Heat|District Heating;TWh/yr;0.0036;;;;L
Primary Energy|Biomass|Electricity;EJ/yr;Primary Energy|Biomass|Electricity;PJ/yr;0.001;;;;L
Primary Energy|Biomass|Electricity|w/ CCS;EJ/yr;Primary Energy|Biomass|Electricity|w/ CCS;PJ/yr;0.001;;;;L
Primary Energy|Biomass|Electricity|w/o CCS;EJ/yr;Primary Energy|Biomass|Electricity|w/o CCS;PJ/yr;0.001;;;;L
Primary Energy|Gas|Electricity;EJ/yr;Primary Energy|Gas|Electricity;PJ/yr;0.001;;;;L
Primary Energy|Coal|Electricity;EJ/yr;Primary Energy|Coal|Electricity;PJ/yr;0.001;;;;L
Primary Energy|Oil|Electricity;EJ/yr;Primary Energy|Oil|Electricity;PJ/yr;0.001;;;;L
Secondary Energy|Electricity;EJ/yr;Secondary Energy|Electricity;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Biomass;EJ/yr;Secondary Energy|Electricity|Biomass;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Biomass|w/ CCS;EJ/yr;Secondary Energy|Electricity|Biomass|w/ CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Biomass|w/o CCS;EJ/yr;Secondary Energy|Electricity|Biomass|w/o CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Coal;EJ/yr;Secondary Energy|Electricity|Coal;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Coal|w/ CCS;EJ/yr;Secondary Energy|Electricity|Coal|w/ CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Coal|w/o CCS;EJ/yr;Secondary Energy|Electricity|Coal|w/o CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Gas;EJ/yr;Secondary Energy|Electricity|Gas;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Gas|w/ CCS;EJ/yr;Secondary Energy|Electricity|Gas|w/ CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Gas|w/o CCS;EJ/yr;Secondary Energy|Electricity|Gas|w/o CCS;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Hydro;EJ/yr;Secondary Energy|Electricity|Hydro;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Nuclear;EJ/yr;Secondary Energy|Electricity|Nuclear;TWh/yr;0.0036;;;;L
Secondary Energy|Electricity|Oil;EJ/yr;Secondary Energy|Electricity|Oil;TWh/yr;0.0036;;;;L
