variable;unit;piam_variable;piam_unit;piam_factor;piam_spatial;internal_comment;Comment;Definition;source
Price|Imported Carbon;US$2010/t CO2;Price|Carbon|Imported;US$2017/t CO2;0.9096;;;;Tax on regional imported CO2 (for regional aggregrates the weighted price of carbon by subregion should be used);Rx
Revenue|government|Import Tax;billion US$2010/yr;Net Taxes|Primary energy import;billion US$2017/yr;0.9096;;;;government revenue from import taxes;R
Resource|Extraction|Coal;EJ/yr;Res|Extraction|Coal;EJ/yr;1;;;;Extracted coal;R
Resource|Extraction|Gas;EJ/yr;Res|Extraction|Gas;EJ/yr;1;;;;Extracted gas;R
Resource|Extraction|Oil;EJ/yr;Res|Extraction|Oil;EJ/yr;1;;;;Extracted oil;R
Extracted|Primary Energy|Coal;EJ/yr;Res|Extraction|Coal;EJ/yr;1;;;;Extracted coal;R
Extracted|Primary Energy|Gas;EJ/yr;Res|Extraction|Gas;EJ/yr;1;;;;Extracted gas;R
Extracted|Primary Energy|Oil;EJ/yr;Res|Extraction|Oil;EJ/yr;1;;;;Extracted oil;R
Sales|Transport|LDV|BEV;million vehicles/yr;Sales|Transport|Pass|Road|LDV|BEV;million veh;1;;;;;T
Stock|Transport|LDV|BEV;million vehicles/yr;Stock|Transport|Pass|Road|LDV|BEV;million veh;1;;;;;T
Sales|Transport|Truck|Electric;million vehicles/yr;Sales|Transport|Freight|Road|BEV;million veh;1;;;;;T
Stock|Transport|Truck|Electric;million vehicles/yr;Stock|Transport|Freight|Road|BEV;million veh;1;;;;;T
Sales|Transport|Bus|Electric;million vehicles/yr;Sales|Transport|Pass|Road|Bus|BEV;million veh;1;;;;;T
Stock|Transport|Bus|Electric;million vehicles/yr;Stock|Transport|Pass|Road|Bus|BEV;million veh;1;;;;;T
Final Energy|Residential and Commercial|Space Heating|Electricity|Heat Pumps;EJ/yr;FE|Buildings|Heating|Electricity|Heat pump;EJ/yr;1;;;;;R
