variable;unit;piam_variable;piam_unit;piam_factor;comment;source
AR6 climate diagnostics|Atmospheric Concentrations|CH4|MAGICCv7.5.3|5.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|CH4|5.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CH4|MAGICCv7.5.3|33.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|CH4|33.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CH4|MAGICCv7.5.3|50.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|CH4|50.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CH4|MAGICCv7.5.3|67.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|CH4|67.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CH4|MAGICCv7.5.3|95.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|CH4|95.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CO2|MAGICCv7.5.3|5.0th Percentile;ppm;MAGICC7 AR6|Atmospheric Concentrations|CO2|5.0th Percentile;ppm;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CO2|MAGICCv7.5.3|33.0th Percentile;ppm;MAGICC7 AR6|Atmospheric Concentrations|CO2|33.0th Percentile;ppm;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CO2|MAGICCv7.5.3|50.0th Percentile;ppm;MAGICC7 AR6|Atmospheric Concentrations|CO2|50.0th Percentile;ppm;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CO2|MAGICCv7.5.3|67.0th Percentile;ppm;MAGICC7 AR6|Atmospheric Concentrations|CO2|67.0th Percentile;ppm;;;C
AR6 climate diagnostics|Atmospheric Concentrations|CO2|MAGICCv7.5.3|95.0th Percentile;ppm;MAGICC7 AR6|Atmospheric Concentrations|CO2|95.0th Percentile;ppm;;;C
AR6 climate diagnostics|Atmospheric Concentrations|N2O|MAGICCv7.5.3|5.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|N2O|5.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|N2O|MAGICCv7.5.3|33.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|N2O|33.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|N2O|MAGICCv7.5.3|50.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|N2O|50.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|N2O|MAGICCv7.5.3|67.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|N2O|67.0th Percentile;ppb;;;C
AR6 climate diagnostics|Atmospheric Concentrations|N2O|MAGICCv7.5.3|95.0th Percentile;ppb;MAGICC7 AR6|Atmospheric Concentrations|N2O|95.0th Percentile;ppb;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Aerosols|MAGICCv7.5.3|5.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Aerosols|5.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Aerosols|MAGICCv7.5.3|33.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Aerosols|33.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Aerosols|MAGICCv7.5.3|50.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Aerosols|50.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Aerosols|MAGICCv7.5.3|67.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Aerosols|67.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Aerosols|MAGICCv7.5.3|95.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Aerosols|95.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Anthropogenic|MAGICCv7.5.3|5.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Basket|Anthropogenic|5.0th Percentile;W/m^2;;;C
AR6 climate diagnostics|Effective Radiative Forcing|Basket|Anthropogenic|MAGICCv7.5.3|33.0th Percentile;W/m^2;MAGICC7 AR6|Effective Radiative Forcing|Basket|Anthropogenic|33.0th Percentile;W/m^2;;;C
