idx;tier;category;variable;unit;piam_variable;piam_unit;piam_factor;internal_comment;comment;description;source
2;1;agriculture;Agricultural Demand;million t DM/yr;Demand|++|Crops;Mt DM/yr;;;;total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
2;1;agriculture;Agricultural Demand;million t DM/yr;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;;total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
2;1;agriculture;Agricultural Demand;million t DM/yr;Demand|++|Livestock products;Mt DM/yr;;;;total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
3;1;agriculture;Agricultural Demand|Energy;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;;agricultural demand level for all bioenergy (consumption, not production);M
3;1;agriculture;Agricultural Demand|Energy;million t DM/yr;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;;agricultural demand level for all bioenergy (consumption, not production);M
3;1;agriculture;Agricultural Demand|Energy;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;;agricultural demand level for all bioenergy (consumption, not production);M
4;1;agriculture;Agricultural Demand|Energy|Crops;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;;demand for modern primary energy crops (1st and 2nd generation);M
4;1;agriculture;Agricultural Demand|Energy|Crops;million t DM/yr;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;;demand for modern primary energy crops (1st and 2nd generation);M
5;1;agriculture;Agricultural Demand|Non-Energy;million t DM/yr;Demand|++|Crops;Mt DM/yr;;;;total demand for food, non-food and feed products (crops and livestock);M
5;1;agriculture;Agricultural Demand|Non-Energy;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for food, non-food and feed products (crops and livestock);M
5;1;agriculture;Agricultural Demand|Non-Energy;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for food, non-food and feed products (crops and livestock);M
5;1;agriculture;Agricultural Demand|Non-Energy;million t DM/yr;Demand|++|Livestock products;Mt DM/yr;;;;total demand for food, non-food and feed products (crops and livestock);M
6;1;agriculture;Agricultural Demand|Non-Energy|Crops;million t DM/yr;Demand|++|Crops;Mt DM/yr;;;;total demand for food, non-food and feed products (crops);M
6;1;agriculture;Agricultural Demand|Non-Energy|Crops;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for food, non-food and feed products (crops);M
6;1;agriculture;Agricultural Demand|Non-Energy|Crops;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for food, non-food and feed products (crops);M
7;1;agriculture;Agricultural Production;million t DM/yr;Production|+|Crops;Mt DM/yr;;;;total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
7;1;agriculture;Agricultural Production;million t DM/yr;Production|+|Livestock products;Mt DM/yr;;;;total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
7;1;agriculture;Agricultural Production;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;;;total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
7;1;agriculture;Agricultural Production;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;;total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
8;1;agriculture;Agricultural Production|Energy;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;;;total bioenergy-related agricultural production (including waste and residues);M
8;1;agriculture;Agricultural Production|Energy;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;;total bioenergy-related agricultural production (including waste and residues);M
9;1;agriculture;Agricultural Production|Energy|Crops;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;;;production for modern primary energy crops (1st and 2nd generation);M
10;1;agriculture;Agricultural Production|Non-Energy;million t DM/yr;Production|+|Crops;Mt DM/yr;;;;total production for food, non-food and feed products (crops and livestock);M
10;1;agriculture;Agricultural Production|Non-Energy;million t DM/yr;Production|+|Livestock products;Mt DM/yr;;;;total production for food, non-food and feed products (crops and livestock);M
11;1;agriculture;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;;total nitrogen fertilizer use;M
12;1;agriculture;Fertilizer Use|Phosphorus;Tg P/yr;;;;;;total phosphorus fertilizer use;
13;1;agriculture;Price|Agriculture|Corn|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Plant-based|Maize;1;;;;price index of corn;M
14;1;agriculture;Price|Agriculture|Non-Energy Crops and Livestock|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products;1;;;;weighted average price index of non-energy crops and livestock products;M
15;1;agriculture;Price|Agriculture|Non-Energy Crops|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Plant-based;1;;;;weighted average price index of non-energy crops;M
16;1;agriculture;Price|Agriculture|Soybean|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Plant-based|Soybean;1;;;;price index of soybean;M
17;1;agriculture;Price|Agriculture|Wheat|Index;Index (2020 = 1);Prices|Index2020|Agriculture|Food products|Plant-based|Temperate cereals;1;;;;price index of wheat;M
18;1;agriculture;Fertilizer|Nitrogen|Intensity;t N/ha/yr;;;;;;nitrogen fertilizer inputs in tonnes per hectare per year (or similar);
19;1;agriculture;Fertilizer|Phosphorus|Intensity;t P/ha/yr;;;;;;phosphorus fertilizer inputs in tonnes per hectare per year (or similar);
20;2;agriculture;Agricultural Demand|Energy|Crops|1st generation;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;;demand for modern primary 1st generation energy crops;M
21;2;agriculture;Agricultural Demand|Energy|Crops|2nd generation;million t DM/yr;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;;demand for modern primary 2nd generation energy crops;M
22;2;agriculture;Agricultural Demand|Energy|Residues;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;;demand of agricultural residues for modern bioenergy production;M
23;2;agriculture;Agricultural Demand|Non-Energy|Crops|Feed;million t DM/yr;Demand|Feed|+|Crops;Mt DM/yr;;;;total demand for feed (crops);M
24;2;agriculture;Agricultural Demand|Non-Energy|Crops|Food;million t DM/yr;Demand|Food|+|Crops;Mt DM/yr;;;;total demand for food (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Agricultural Supply Chain Loss|+|Crops;Mt DM/yr;;;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Domestic Balanceflow|+|Crops;Mt DM/yr;;;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Material|+|Crops;Mt DM/yr;;;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Processing|+|Crops;Mt DM/yr;;;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Seed|+|Crops;Mt DM/yr;;;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Bioenergy|+|Secondary products;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for non-food and non-feed (crops);M
25;2;agriculture;Agricultural Demand|Non-Energy|Crops|Other;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;-1;remove from Demand|Crops to avoid double-counting;;total demand for non-food and non-feed (crops);M
26;2;agriculture;Agricultural Demand|Non-Energy|Livestock;million t DM/yr;Demand|++|Livestock products;Mt DM/yr;;;;total demand for livestock products;M
27;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Food;million t DM/yr;Demand|Food|+|Livestock products;Mt DM/yr;;;;total demand for food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Agricultural Supply Chain Loss|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Domestic Balanceflow|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Feed|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Material|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Processing|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
28;2;agriculture;Agricultural Demand|Non-Energy|Livestock|Other;million t DM/yr;Demand|Seed|+|Livestock products;Mt DM/yr;;;;total demand for non-food livestock products;M
29;2;agriculture;Agricultural Production|Energy|Crops|1st generation;million t DM/yr;;;;;;production for modern primary 1st generation energy crops;
30;2;agriculture;Agricultural Production|Energy|Crops|2nd generation;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;;;production for modern primary 2nd generation energy crops;M
31;2;agriculture;Agricultural Production|Energy|Residues;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;;;production of agricultural residues for modern bioenergy production;M
32;2;agriculture;Agricultural Production|Non-Energy|Crops;million t DM/yr;Production|+|Crops;Mt DM/yr;;;;total production for food, non-food and feed products (crops);M
33;2;agriculture;Agricultural Production|Non-Energy|Crops|Feed;million t DM/yr;;;;;;total production for feed (crops);
34;2;agriculture;Agricultural Production|Non-Energy|Crops|Food;million t DM/yr;;;;;;total production for food (crops);
35;2;agriculture;Agricultural Production|Non-Energy|Crops|Other;million t DM/yr;;;;;;total production for non-food and non-feed (crops);
36;2;agriculture;Agricultural Production|Non-Energy|Livestock;million t DM/yr;Production|+|Livestock products;Mt DM/yr;;;;total production for livestock products;M
37;2;agriculture;Agricultural Production|Non-Energy|Livestock|Food;million t DM/yr;;;;;;total production for food livestock products;
38;2;agriculture;Agricultural Production|Non-Energy|Livestock|Other;million t DM/yr;;;;;;total production for non-food livestock products;
39;2;agriculture;Fertilizer Use|Potassium;Tg K2O/yr;;;;;;total potassium fertilizer use;
40;2;agriculture;Yield|Cereal;t DM/ha/yr;Productivity|Yield|Crops|+|Cereals;t DM/ha;;;;yield of cereal production per until of area (used here as repreentative crop to measure yield assumptions);M
41;2;agriculture;Yield|Oilcrops;t DM/ha/yr;Productivity|Yield|Crops|+|Oil crops;t DM/ha;;;;aggregated yield of Oilcrops (e.g. soybean, rapeseed, groundnut, sunflower, oilpalm);M
42;2;agriculture;Yield|Sugarcrops;t DM/ha/yr;Productivity|Yield|Crops|+|Sugar crops;t DM/ha;;;;aggregated yield of Sugarcrops (e.g. sugarbeet, sugarcane);M
43;2;agriculture;Fertilizer|Potassium|Intensity;t K20/ha/yr;;;;;;potassium fertilizer inputs in tonnes per hectare per year (or similar);
44;1;carbon management;Carbon Capture;Mt CO2/yr;Carbon Management|Carbon Capture;Mt CO2/yr;;;;total carbon dioxide emissions captured, i.e. captured CO2 stream from bioenergy use, fossil fuel use, industrial processes, and direct air capture, should be reported as positive numbers;R
45;1;carbon management;Carbon Capture|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use, should be reported as positive numbers;R
45;1;carbon management;Carbon Capture|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use, should be reported as positive numbers;R
45;1;carbon management;Carbon Capture|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|Waste|+|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use, should be reported as positive numbers;R
46;1;carbon management;Carbon Capture|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use, should be reported as positive numbers;R
46;1;carbon management;Carbon Capture|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use, should be reported as positive numbers;R
46;1;carbon management;Carbon Capture|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|Waste|+|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions captured from fossil fuel use, should be reported as positive numbers;R
;1;carbon management;Carbon Capture|Electricity;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Synfuel;Mt CO2/yr;;;;total carbon dioxide emissions captured from hydrogen or synthetic fuel use, should be reported as positive numbers;R
47;2;carbon management;Carbon Capture|Industry;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry;Mt CO2/yr;;;;total carbon dioxide emissions captured from industry, should be reported as positive numbers;R
47;2;carbon management;Carbon Capture|Industry;Mt CO2/yr;Carbon Management|Carbon Capture|Industrial Processes|Industry;Mt CO2/yr;;;;total carbon dioxide emissions captured from industry, should be reported as positive numbers;R
48;2;carbon management;Carbon Capture|Industry|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions from biomass captured in industry sector;R
49;2;carbon management;Carbon Capture|Industry|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Fossil;Mt CO2/yr;;;;total carbon dioxide emissions from fossils (incl. minerals) captured in industry sector;R
;2;carbon management;Carbon Capture|Industry|Electricity;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Synfuel;Mt CO2/yr;;;;total carbon dioxide emissions from hydrogen or synthetic fuel use captured in industry sector;R
50;1;carbon management;Carbon Capture|Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|Industrial Processes|Industry;Mt CO2/yr;;;;total carbon dioxide emissions captured from industrial processes (e.g., cement production, but not from fossil fuel burning) use, should be reported as positive numbers;R
51;2;carbon management;Carbon Capture|Biomass|Energy|Demand|Industry;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Industry|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2), should be reported as positive numbers;R
52;2;carbon management;Carbon Capture|Biomass|Energy|Supply;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use, should be reported as positive numbers;R
53;2;carbon management;Carbon Capture|Biomass|Energy|Supply|Electricity;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass|Electricity w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a), should be reported as positive numbers;R
54;2;carbon management;Carbon Capture|Biomass|Energy|Supply|Gases;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass|Gases w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production, excl. hydrogen (part of IPCC category 1A), should be reported as positive numbers;R
55;2;carbon management;Carbon Capture|Biomass|Energy|Supply|Hydrogen;Mt CO2/yr;Carbon Management|Carbon Capture|Energy|Pe2Se|Biomass|Hydrogen w/ couple prod;Mt CO2/yr;;;;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A), should be reported as positive numbers;R
