idx;Tier;Category;variable;unit;piam_variable;piam_unit;piam_factor;internal_comment;Comment;Definition;source
96;1;carbon management;Carbon Removal|Land Use;Mt CO2/yr;Emi|CO2|CDR|Land-Use Change;Mt CO2/yr;1;;;total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);R
96;1;carbon management;Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);R
96;1;carbon management;Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);R
93;2;carbon management;Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|Land-Use Change;Mt CO2/yr;1;;;total carbon dioxide sequestered;R
93;2;carbon management;Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered;R
93;2;carbon management;Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;;total carbon dioxide sequestered;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emi|CO2|w/ Bunkers|Gross;Mt CO2/yr;-1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emi|CO2|w/ Bunkers;Mt CO2/yr;1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emi|CO2|CDR;Mt CO2/yr;-1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emi|CO2|CDR|Land-Use Change;Mt CO2/yr;1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
157;1;emissions (CO2);Gross Emissions|CO2;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;;Gross CO2 emissions, not accounting for negative emissions e.g. from BECCS or AFOLU;R
