variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|++|Crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|++|Livestock products;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand;million t DM/yr;1;Total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);;;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;mapping taken from NAVIGATE, NAVIGATE category: agriculture;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;;Demand|++|Crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops;million t DM/yr;1;Demand for crops including food, feed products and bioenergy (1st & 2nd generation crops);;;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;mapping taken from AR6_MAgPIE;M;
Agricultural Demand|Crops|Bioenergy;million t DM/yr;1;Demand for bioenergy crops (1st & 2nd generation);;;Demand|++|Bioenergy crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|1st Generation;million t DM/yr;2;Demand for 1st generation bioenergy crops (sugar, starch and oil crops);;;Demand|Bioenergy|+|Crops;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|1st Generation;million t DM/yr;2;Demand for 1st generation bioenergy crops (sugar, starch and oil crops);;;Demand|Bioenergy|+|Secondary products;Mt DM/yr;;;M;
Agricultural Demand|Crops|Bioenergy|2nd generation;million t DM/yr;1;Demand for second-generation bioenergy crops (short rotation grasses, short rotation trees);;;Demand|Bioenergy|+|Bioenergy crops;Mt DM/yr;;;M;
