variable;unit;piam_variable;piam_unit;piam_factor;description;source
Agricultural Material Footprint [per capita];t DM/cap/yr;SDG|SDG12|Material footprint;tDM/capita/yr;;Biomass usage per capita excluding pasture and forestry;M
Agricultural Production;million t DM/yr;Production|+|Crops;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production;million t DM/yr;Production|+|Livestock products;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production;million t DM/yr;Demand|Bioenergy|+|Crop residues;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production;million t DM/yr;Demand|Feed|+|Crop residues;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production;million t DM/yr;Demand|Material|+|Crop residues;Mt DM/yr;;Total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation);M
Agricultural Production|Crops;million t DM/yr;Production|+|Crops;Mt DM/yr;;Production of crops;M
Agricultural Production|Crops;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;Production of crops;M
Agricultural Production|Crops|Energy Crops;million t DM/yr;Production|+|Bioenergy crops;Mt DM/yr;;Production of second-generation bioenergy crops (short rotation grasses, short rotation trees);M
Agricultural Production|Livestock;million t DM/yr;Production|+|Livestock products;Mt DM/yr;;Production of livestock products (excluding fish);M
Air Pollution|PM2.5|Urban Population;ug/m3;Air pollution concentration|PM2_5|Urban population;ug/m3;;Urban population weighted annual average PM2.5 concentrations.;S
Building Stock|Commercial|Floor Space|Gross;billion m2;;;;Standing stock of floor space in residential and commercial buildings;
Building Stock|Commercial|Floor Space|Useful;billion m2;;;;Standing stock of floor space in residential and commercial buildings;
Building Stock|Residential and Commercial|Floor Space|Gross;billion m2;ES|Buildings|Floor Space;bn m2;1;Standing stock of floor space in residential and commercial buildings;R
Building Stock|Residential and Commercial|Floor Space|Useful;billion m2;ES|Buildings|Floor Space;bn m2;1;Standing stock of floor space in residential and commercial buildings;R
Building Stock|Residential|Floor Space|Gross;billion m2;;;;Standing stock of floor space in residential and commercial buildings;
Building Stock|Residential|Floor Space|Useful;billion m2;;;;Standing stock of floor space in residential and commercial buildings;
Carbon Capture;Mt CO2/yr;Carbon Management|Carbon Capture;Mt CO2/yr;;Total amount of carbon dioxide (CO2) captured either from the atmosphere, directly from oceans, or from point sources as energy use in supply and demand sectors (IPCC category 1A, 1B) or industrial processes (IPCC categories 2A, B, C, E);R
Carbon Capture|Geological Storage;Mt CO2/yr;Carbon Management|Storage;Mt CO2/yr;;Captured carbon dioxide (CO2) that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Geological Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|Biomass;Mt CO2/yr;;Captured carbon dioxide (CO2) from purpose-grown bioenergy crops, biogas, crop and forestry residue, municipal solid waste bioenergy and traditional biomass that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Geological Storage|Direct Air Capture;Mt CO2/yr;Carbon Management|Storage|+|DAC;Mt CO2/yr;;Captured carbon dioxide (CO2) from direct air capture (DAC) that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Direct Air Capture and Sequestration' (DACCS);R
Carbon Capture|Geological Storage|Direct Ocean Capture;Mt CO2/yr;;;;Captured carbon dioxide (CO2) from direct ocean capture that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);
Carbon Capture|Geological Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Fossil;Mt CO2/yr;;Captured carbon dioxide (CO2) from fossil fuels including coal, natural gas and conventional/unconventional oil that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Geological Storage|Industrial Processes;Mt CO2/yr;Carbon Management|Storage|Industrial Processes|+|Industry;Mt CO2/yr;;Captured carbon dioxide (CO2) from industrial processes (e.g., cement production) that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Geological Storage|Other Sources;Mt CO2/yr;Carbon Management|Storage|Industrial Processes|+|CDR Sector;Mt CO2/yr;;Captured carbon dioxide (CO2) from other sources that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Geological Storage|Synthetic Fuels;Mt CO2/yr;Carbon Management|Storage|Synfuel;Mt CO2/yr;;Captured carbon dioxide (CO2) from synthetic fuels produced from carbon captured from fossil fuels and directly or indirectly from the atmosphere, e.g. using carbon-capture- and-utilization (CCU) from biomass or fossil fuels or Direct Air Capture (DAC) that is injected into subsurface geological storage reservoirs (e.g., in situ mineralization), also called 'Carbon Capture and Sequestration' (CCS);R
Carbon Capture|Leakage;Mt CO2/yr;Carbon Management|Venting of Captured Carbon;Mt CO2/yr;;Captured carbon dioxide (CO2) that is vented, leaked, or re-emitted during transport;R
Carbon Capture|Other Storage;Mt CO2/yr;;;;Other types of storage for captured carbon dioxide (CO2);
Carbon Capture|Utilization;Mt CO2/yr;Carbon Management|Usage;Mt CO2/yr;;Captured carbon dioxide (CO2) that is used in the manufacture of fuels or materials, or to enhance the productivity of oil and/or natural gas reservoirs;R
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;R
Carbon Removal;Mt CO2/yr;Emi|CO2|Industrial Processes|+|CDR Sector;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;R
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|+|Land-Use Change;Mt CO2/yr;1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;R
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Timber|+|Storage in HWP;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) from atmospheric origin or biomass through deliberate human activities;M
Carbon Removal|Enhanced Weathering;Mt CO2/yr;Emi|CO2|CDR|+|EW;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) by terrestrial application of alkalinity to increase CO2 uptake on land;R
Carbon Removal|Geological Storage|Biomass;Mt CO2/yr;Emi|CO2|CDR|+|BECCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through geological storage of CO2 from biogenic orgin, i.e., bioenergy with carbon capture and storage (BECCS);R
Carbon Removal|Geological Storage|Direct Air Capture;Mt CO2/yr;Emi|CO2|CDR|+|DACCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through direct air capture in combination with carbon-capture and sequestration (CCS);R
Carbon Removal|Geological Storage|Other Sources;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through geological storage of CO2 from other sources, not including carbon from fossil fuels;
Carbon Removal|Geological Storage|Synthetic Fuels;Mt CO2/yr;Emi|CO2|CDR|+|Synthetic Fuels CCS;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through geological storage of CO2 captured from burning synthetic fuels produced from carbon-capture-and-utilization (CCU), not derived from fossil fuels;R
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use|Agroforestry;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through intentionally integrating trees with crops or pasture on the same land;M
Carbon Removal|Land Use|Biochar;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through conversion of biomass to recalcitrant carbon via pyrolysis and its subsequent application to croplands to increase soil carbon stocks;
Carbon Removal|Land Use|Forest Management;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through improved forest management;
Carbon Removal|Land Use|Other;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through other land-related CDR methods;M
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M
Carbon Removal|Land Use|Soil Carbon Management;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of soils;M
Carbon Removal|Long-Lived Materials;Mt CO2/yr;Emi|CO2|CDR|+|Materials;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through long-lived materials;R
