X;CountryCode;RegionCode
Aruba;ABW;Latin America (R10)
Afghanistan;AFG;Rest of Asia (R10)
Angola;AGO;Africa (R10)
Anguilla;AIA;Latin America (R10)
Aland Islands;ALA;Europe (R10)
Albania;ALB;Europe (R10)
Andorra;AND;Europe (R10)
United Arab Emirates;ARE;Middle East (R10)
Argentina;ARG;Latin America (R10)
Armenia;ARM;Reforming Economies (R10)
American Samoa;ASM;Rest of Asia (R10)
Antarctica;ATA;Latin America (R10)
French Southern Territories;ATF;Rest of Asia (R10)
Antigua and Barbuda;ATG;Latin America (R10)
Australia;AUS;Pacific OECD (R10)
Austria;AUT;Europe (R10)
Azerbaijan;AZE;Reforming Economies (R10)
Burundi;BDI;Africa (R10)
Belgium;BEL;Europe (R10)
Benin;BEN;Africa (R10)
Bonaire, Sint Eustatius and Saba;BES;Latin America (R10)
Burkina Faso;BFA;Africa (R10)
Bangladesh;BGD;Rest of Asia (R10)
Bulgaria;BGR;Europe (R10)
Bahrain;BHR;Middle East (R10)
Bahamas;BHS;Latin America (R10)
Bosnia and Herzegovina;BIH;Europe (R10)
Saint Barthelemy;BLM;Latin America (R10)
Belarus;BLR;Reforming Economies (R10)
Belize;BLZ;Latin America (R10)
Bermuda;BMU;Latin America (R10)
Bolivia, Plurinational State of;BOL;Latin America (R10)
Brazil;BRA;Latin America (R10)
Barbados;BRB;Latin America (R10)
Brunei Darussalam;BRN;Rest of Asia (R10)
Bhutan;BTN;Rest of Asia (R10)
Bouvet Island;BVT;Latin America (R10)
Botswana;BWA;Africa (R10)
Central African Republic;CAF;Africa (R10)
Canada;CAN;Pacific OECD (R10)
Cocos (Keeling) Islands;CCK;Rest of Asia (R10)
China;CHN;China+ (R10)
Switzerland;CHE;Europe (R10)
Chile;CHL;Latin America (R10)
Cote d Ivoire;CIV;Africa (R10)
Cameroon;CMR;Africa (R10)
Congo, the Democratic Republic of the;COD;Africa (R10)
Congo;COG;Africa (R10)
Cook Islands;COK;Rest of Asia (R10)
Colombia;COL;Latin America (R10)
Comoros;COM;Africa (R10)
Cape Verde;CPV;Africa (R10)
Costa Rica;CRI;Latin America (R10)
Cuba;CUB;Latin America (R10)
Curacao;CUW;Latin America (R10)
Christmas Island;CXR;Rest of Asia (R10)
Cayman Islands;CYM;Latin America (R10)
Cyprus;CYP;Europe (R10)
Czech Republic;CZE;Europe (R10)
Germany;DEU;Europe (R10)
Djibouti;DJI;Africa (R10)
Dominica;DMA;Latin America (R10)
Denmark;DNK;Europe (R10)
Dominican Republic;DOM;Latin America (R10)
Algeria;DZA;Africa (R10)
Ecuador;ECU;Latin America (R10)
Egypt;EGY;Africa (R10)
Eritrea;ERI;Africa (R10)
Western Sahara;ESH;Africa (R10)
Spain;ESP;Europe (R10)
Estonia;EST;Europe (R10)
Ethiopia;ETH;Africa (R10)
Finland;FIN;Europe (R10)
Fiji;FJI;Rest of Asia (R10)
Falkland Islands (Malvinas);FLK;Latin America (R10)
France;FRA;Europe (R10)
Faroe Islands;FRO;Europe (R10)
Micronesia, Federated States of;FSM;Rest of Asia (R10)
Gabon;GAB;Africa (R10)
United Kingdom;GBR;Europe (R10)
Georgia;GEO;Reforming Economies (R10)
Guernsey;GGY;Europe (R10)
Ghana;GHA;Africa (R10)
Gibraltar;GIB;Europe (R10)
Guinea;GIN;Africa (R10)
Guadeloupe;GLP;Latin America (R10)
Gambia;GMB;Africa (R10)
Guinea-Bissau;GNB;Africa (R10)
Equatorial Guinea;GNQ;Africa (R10)
Greece;GRC;Europe (R10)
Grenada;GRD;Latin America (R10)
Greenland;GRL;Europe (R10)
Guatemala;GTM;Latin America (R10)
French Guiana;GUF;Latin America (R10)
Guam;GUM;Rest of Asia (R10)
Guyana;GUY;Latin America (R10)
Hong Kong;HKG;China+ (R10)
Heard Island and McDonald Islands;HMD;Pacific OECD (R10)
Honduras;HND;Latin America (R10)
Croatia;HRV;Europe (R10)
Haiti;HTI;Latin America (R10)
Hungary;HUN;Europe (R10)
Indonesia;IDN;Rest of Asia (R10)
Isle of Man;IMN;Europe (R10)
India;IND;India+ (R10)
British Indian Ocean Territory;IOT;Rest of Asia (R10)
Ireland;IRL;Europe (R10)
Iran, Islamic Republic of;IRN;Middle East (R10)
Iraq;IRQ;Middle East (R10)
Iceland;ISL;Europe (R10)
Israel;ISR;Middle East (R10)
Italy;ITA;Europe (R10)
Jamaica;JAM;Latin America (R10)
Jersey;JEY;Europe (R10)
Jordan;JOR;Middle East (R10)
Japan;JPN;Pacific OECD (R10)
Kazakhstan;KAZ;Reforming Economies (R10)
Kenya;KEN;Africa (R10)
Kyrgyzstan;KGZ;Reforming Economies (R10)
Cambodia;KHM;Rest of Asia (R10)
Kiribati;KIR;Rest of Asia (R10)
Saint Kitts and Nevis;KNA;Latin America (R10)
Korea, Republic of;KOR;Rest of Asia (R10)
Kuwait;KWT;Middle East (R10)
Lao People's Democratic Republic;LAO;Rest of Asia (R10)
Lebanon;LBN;Middle East (R10)
Liberia;LBR;Africa (R10)
Libya;LBY;Africa (R10)
Saint Lucia;LCA;Latin America (R10)
Liechtenstein;LIE;Europe (R10)
Sri Lanka;LKA;Rest of Asia (R10)
Lesotho;LSO;Africa (R10)
Lithuania;LTU;Europe (R10)
Luxembourg;LUX;Europe (R10)
Latvia;LVA;Europe (R10)
Macao;MAC;China+ (R10)
Saint Martin (French part);MAF;Latin America (R10)
Morocco;MAR;Africa (R10)
Monaco;MCO;Europe (R10)
Moldova, Republic of;MDA;Reforming Economies (R10)
Madagascar;MDG;Africa (R10)
Maldives;MDV;Rest of Asia (R10)
Mexico;MEX;Latin America (R10)
Marshall Islands;MHL;Rest of Asia (R10)
Macedonia, the former Yugoslav Republic of;MKD;Europe (R10)
Mali;MLI;Africa (R10)
Malta;MLT;Europe (R10)
Myanmar;MMR;Rest of Asia (R10)
Montenegro;MNE;Europe (R10)
Mongolia;MNG;Rest of Asia (R10)
Northern Mariana Islands;MNP;Rest of Asia (R10)
Mozambique;MOZ;Africa (R10)
Mauritania;MRT;Africa (R10)
Montserrat;MSR;Latin America (R10)
Martinique;MTQ;Latin America (R10)
Mauritius;MUS;Africa (R10)
Malawi;MWI;Africa (R10)
Malaysia;MYS;Rest of Asia (R10)
Mayotte;MYT;Africa (R10)
Namibia;NAM;Africa (R10)
New Caledonia;NCL;Rest of Asia (R10)
Niger;NER;Africa (R10)
Norfolk Island;NFK;Rest of Asia (R10)
Nigeria;NGA;Africa (R10)
Nicaragua;NIC;Latin America (R10)
Niue;NIU;Rest of Asia (R10)
Netherlands;NLD;Europe (R10)
Norway;NOR;Europe (R10)
Nepal;NPL;Rest of Asia (R10)
Nauru;NRU;Rest of Asia (R10)
New Zealand;NZL;Pacific OECD (R10)
Oman;OMN;Middle East (R10)
Pakistan;PAK;Rest of Asia (R10)
Panama;PAN;Latin America (R10)
Pitcairn;PCN;Rest of Asia (R10)
Peru;PER;Latin America (R10)
Philippines;PHL;Rest of Asia (R10)
Palau;PLW;Rest of Asia (R10)
Papua New Guinea;PNG;Rest of Asia (R10)
Poland;POL;Europe (R10)
Puerto Rico;PRI;Latin America (R10)
Korea, Democratic People's Republic of;PRK;Rest of Asia (R10)
Portugal;PRT;Europe (R10)
Paraguay;PRY;Latin America (R10)
Palestine, State of;PSE;Middle East (R10)
French Polynesia;PYF;Rest of Asia (R10)
Qatar;QAT;Middle East (R10)
Reunion;REU;Africa (R10)
Romania;ROU;Europe (R10)
Russian Federation;RUS;Reforming Economies (R10)
Rwanda;RWA;Africa (R10)
Saudi Arabia;SAU;Middle East (R10)
Sudan;SDN;Africa (R10)
Senegal;SEN;Africa (R10)
Singapore;SGP;Rest of Asia (R10)
South Georgia and the South Sandwich Islands;SGS;Latin America (R10)
Saint Helena, Ascension and Tristan da Cunha;SHN;Africa (R10)
Svalbard and Jan Mayen;SJM;Europe (R10)
Solomon Islands;SLB;Rest of Asia (R10)
Sierra Leone;SLE;Africa (R10)
El Salvador;SLV;Latin America (R10)
San Marino;SMR;Europe (R10)
Somalia;SOM;Africa (R10)
Saint Pierre and Miquelon;SPM;Pacific OECD (R10)
Serbia;SRB;Europe (R10)
South Sudan;SSD;Africa (R10)
Sao Tome and Principe;STP;Africa (R10)
Suriname;SUR;Latin America (R10)
Slovakia;SVK;Europe (R10)
Slovenia;SVN;Europe (R10)
Sweden;SWE;Europe (R10)
Swaziland;SWZ;Africa (R10)
