parent;child;factor
Agricultural Demand;Agricultural Demand|Energy;1
Agricultural Demand;Agricultural Demand|Non-Energy;1

Agricultural Demand|Energy;Agricultural Demand|Energy|Crops;1
Agricultural Demand|Energy;Agricultural Demand|Energy|Residues;1

Agricultural Demand|Energy|Crops;Agricultural Demand|Energy|Crops|1st generation;1
Agricultural Demand|Energy|Crops;Agricultural Demand|Energy|Crops|2nd generation;1

Agricultural Demand|Non-Energy;Agricultural Demand|Non-Energy|Crops;1
Agricultural Demand|Non-Energy;Agricultural Demand|Non-Energy|Livestock;1

Agricultural Demand|Non-Energy|Crops;Agricultural Demand|Non-Energy|Crops|Feed;1
Agricultural Demand|Non-Energy|Crops;Agricultural Demand|Non-Energy|Crops|Food;1
Agricultural Demand|Non-Energy|Crops;Agricultural Demand|Non-Energy|Crops|Other;1

Agricultural Demand|Non-Energy|Livestock;Agricultural Demand|Non-Energy|Livestock|Food;1
Agricultural Demand|Non-Energy|Livestock;Agricultural Demand|Non-Energy|Livestock|Other;1

Agricultural Production;Agricultural Production|Energy;1
Agricultural Production;Agricultural Production|Non-Energy;1

Agricultural Production|Energy;Agricultural Production|Energy|Crops;1
Agricultural Production|Energy;Agricultural Production|Energy|Residues;1

Agricultural Production|Energy|Crops;Agricultural Production|Energy|Crops|1st generation;1
Agricultural Production|Energy|Crops;Agricultural Production|Energy|Crops|2nd generation;1

Agricultural Production|Non-Energy;Agricultural Production|Non-Energy|Crops;1
Agricultural Production|Non-Energy;Agricultural Production|Non-Energy|Livestock;1

Agricultural Production|Non-Energy|Crops;Agricultural Production|Non-Energy|Crops|Feed;1
Agricultural Production|Non-Energy|Crops;Agricultural Production|Non-Energy|Crops|Food;1
Agricultural Production|Non-Energy|Crops;Agricultural Production|Non-Energy|Crops|Other;1

Agricultural Production|Non-Energy|Livestock;Agricultural Production|Non-Energy|Livestock|Food;1
Agricultural Production|Non-Energy|Livestock;Agricultural Production|Non-Energy|Livestock|Other;1

Capacity Additions|Electricity|Biomass;Capacity Additions|Electricity|Biomass|w/ CCS;1
Capacity Additions|Electricity|Biomass;Capacity Additions|Electricity|Biomass|w/o CCS;1

Capacity Additions|Electricity|Coal;Capacity Additions|Electricity|Coal|w/ CCS;1
Capacity Additions|Electricity|Coal;Capacity Additions|Electricity|Coal|w/o CCS;1

Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas|w/ CCS;1
Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas|w/o CCS;1

Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil|w/ CCS;1
Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil|w/o CCS;1

Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar|CSP;1
Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar|PV;1

Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind|Offshore;1
Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind|Onshore;1

# fails with Relative difference between -27.2% and -1.05%, absolute difference up to 11084 GW.
Capacity|Electricity;Capacity|Electricity|Hydro;1
Capacity|Electricity;Capacity|Electricity|Hydrogen;1
Capacity|Electricity;Capacity|Electricity|Nuclear;1
Capacity|Electricity;Capacity|Electricity|Wind;1
Capacity|Electricity;Capacity|Electricity|Biomass;1
Capacity|Electricity;Capacity|Electricity|Coal;1
Capacity|Electricity;Capacity|Electricity|Gas;1
Capacity|Electricity;Capacity|Electricity|Geothermal;1
Capacity|Electricity;Capacity|Electricity|Oil;1
Capacity|Electricity;Capacity|Electricity|Other;1
Capacity|Electricity;Capacity|Electricity|Peak Demand;1
Capacity|Electricity;Capacity|Electricity|Solar;1

Capacity|Electricity|Biomass;Capacity|Electricity|Biomass|w/ CCS;1
Capacity|Electricity|Biomass;Capacity|Electricity|Biomass|w/o CCS;1

Capacity|Electricity|Coal;Capacity|Electricity|Coal|w/ CCS;1
Capacity|Electricity|Coal;Capacity|Electricity|Coal|w/o CCS;1

Capacity|Electricity|Gas;Capacity|Electricity|Gas|w/ CCS;1
Capacity|Electricity|Gas;Capacity|Electricity|Gas|w/o CCS;1

Capacity|Electricity|Oil;Capacity|Electricity|Oil|w/ CCS;1
Capacity|Electricity|Oil;Capacity|Electricity|Oil|w/o CCS;1

Capacity|Electricity|Solar;Capacity|Electricity|Solar|CSP;1
Capacity|Electricity|Solar;Capacity|Electricity|Solar|PV;1

Capacity|Electricity|Wind;Capacity|Electricity|Wind|Offshore;1
Capacity|Electricity|Wind;Capacity|Electricity|Wind|Onshore;1

Capacity|Gases|Biomass;Capacity|Gases|Biomass|w/ CCS;1
Capacity|Gases|Biomass;Capacity|Gases|Biomass|w/o CCS;1

Capacity|Gases|Coal;Capacity|Gases|Coal|w/ CCS;1
Capacity|Gases|Coal;Capacity|Gases|Coal|w/o CCS;1

Capacity|Hydrogen|Biomass;Capacity|Hydrogen|Biomass|w/ CCS;1
Capacity|Hydrogen|Biomass;Capacity|Hydrogen|Biomass|w/o CCS;1

Capacity|Hydrogen|Coal;Capacity|Hydrogen|Coal|w/ CCS;1
Capacity|Hydrogen|Coal;Capacity|Hydrogen|Coal|w/o CCS;1

Capacity|Hydrogen|Gas;Capacity|Hydrogen|Gas|w/ CCS;1
Capacity|Hydrogen|Gas;Capacity|Hydrogen|Gas|w/o CCS;1

Capacity|Liquids|Biomass;Capacity|Liquids|Biomass|w/ CCS;1
Capacity|Liquids|Biomass;Capacity|Liquids|Biomass|w/o CCS;1

Capacity|Liquids|Coal;Capacity|Liquids|Coal|w/ CCS;1
Capacity|Liquids|Coal;Capacity|Liquids|Coal|w/o CCS;1

Capacity|Liquids|Gas;Capacity|Liquids|Gas|w/ CCS;1
Capacity|Liquids|Gas;Capacity|Liquids|Gas|w/o CCS;1

Carbon Capture;Carbon Capture|Biomass;1
Carbon Capture;Carbon Capture|Fossil;1
Carbon Capture;Carbon Capture|Electricity;1
# Carbon Capture;Carbon Capture|Industry;1 # captured in Industrial processes + Energy variables
Carbon Capture;Carbon Capture|Industrial Processes;1
Carbon Capture;Carbon Capture|Direct Air Capture;1
Carbon Capture;Carbon Capture|Other;1

Carbon Capture 2;Carbon Capture|Leakage;1
Carbon Capture 2;Carbon Capture|Storage;1
Carbon Capture 2;Carbon Capture|Usage;1

Carbon Capture|Biomass|Energy|Supply;Carbon Capture|Biomass|Energy|Supply|Electricity;1
Carbon Capture|Biomass|Energy|Supply;Carbon Capture|Biomass|Energy|Supply|Gases;1
Carbon Capture|Biomass|Energy|Supply;Carbon Capture|Biomass|Energy|Supply|Hydrogen;1
Carbon Capture|Biomass|Energy|Supply;Carbon Capture|Biomass|Energy|Supply|Liquids;1
Carbon Capture|Biomass|Energy|Supply;Carbon Capture|Biomass|Energy|Supply|Other;1

Carbon Capture|Fossil|Energy|Supply;Carbon Capture|Fossil|Energy|Supply|Electricity;1
Carbon Capture|Fossil|Energy|Supply;Carbon Capture|Fossil|Energy|Supply|Gases;1
Carbon Capture|Fossil|Energy|Supply;Carbon Capture|Fossil|Energy|Supply|Hydrogen;1
Carbon Capture|Fossil|Energy|Supply;Carbon Capture|Fossil|Energy|Supply|Liquids;1
Carbon Capture|Fossil|Energy|Supply;Carbon Capture|Fossil|Energy|Supply|Other;1

Carbon Capture|Industry;Carbon Capture|Industry|Biomass;1
Carbon Capture|Industry;Carbon Capture|Industry|Fossil;1
Carbon Capture|Industry;Carbon Capture|Industry|Electricity;1
Carbon Capture|Industry;Carbon Capture|Industrial Processes;1

Carbon Capture|Storage;Carbon Capture|Storage|Biomass;1
Carbon Capture|Storage;Carbon Capture|Storage|Fossil;1
Carbon Capture|Storage;Carbon Capture|Storage|Electricity;1
Carbon Capture|Storage;Carbon Capture|Storage|Industrial Processes;1
Carbon Capture|Storage;Carbon Capture|Storage|Direct Air Capture;1
Carbon Capture|Storage;Carbon Capture|Storage|Other;1

Carbon Capture|Storage|Biomass|Energy|Supply;Carbon Capture|Storage|Biomass|Energy|Supply|Electricity;1
Carbon Capture|Storage|Biomass|Energy|Supply;Carbon Capture|Storage|Biomass|Energy|Supply|Gases;1
Carbon Capture|Storage|Biomass|Energy|Supply;Carbon Capture|Storage|Biomass|Energy|Supply|Hydrogen;1
Carbon Capture|Storage|Biomass|Energy|Supply;Carbon Capture|Storage|Biomass|Energy|Supply|Liquids;1
Carbon Capture|Storage|Biomass|Energy|Supply;Carbon Capture|Storage|Biomass|Energy|Supply|Other;1

Carbon Capture|Storage|Fossil|Energy|Supply;Carbon Capture|Storage|Fossil|Energy|Supply|Electricity;1
