parent;child;factor
#  Variables that need add up for the emissions harmonization process (see https://docs.google.com/spreadsheets/d/1HKfl21NX8wohPEHpHlmf5XithknPw8zjLpVe4MiOU9U/edit?gid=1877841403#gid=1877841403);;
## Total CO2 - Note that for AFOLU we only report the total net variable;;
Emissions|CO2;Emissions|CO2|Energy|Supply;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Industry;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Other Sector;1
Emissions|CO2;Emissions|CO2|Industrial Processes;1
Emissions|CO2;Emissions|CO2|Other;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Bunkers|International Aviation;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Transportation;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Bunkers|International Shipping;1
Emissions|CO2;Emissions|CO2|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|CO2;Emissions|CO2|Product Use;1
Emissions|CO2;Emissions|CO2|AFOLU;1
Emissions|CO2;Emissions|CO2|Waste;1
Emissions|CO2;Carbon Removal|Enhanced Weathering;-1
Emissions|CO2;Carbon Removal|Geological Storage|Direct Air Capture;-1
Emissions|CO2;Carbon Removal|Geological Storage|Other Sources;-1
Emissions|CO2;Carbon Removal|Long-Lived Materials;-1
Emissions|CO2;Carbon Removal|Ocean;-1
;;
## Total BC;;
Emissions|BC;Emissions|BC|Energy|Supply;1
Emissions|BC;Emissions|BC|Energy|Demand|Industry;1
Emissions|BC;Emissions|BC|Energy|Demand|Other Sector;1
Emissions|BC;Emissions|BC|Industrial Processes;1
Emissions|BC;Emissions|BC|Other;1
Emissions|BC;Emissions|BC|Energy|Demand|Bunkers|International Aviation;1
Emissions|BC;Emissions|BC|Energy|Demand|Transportation;1
Emissions|BC;Emissions|BC|Energy|Demand|Bunkers|International Shipping;1
Emissions|BC;Emissions|BC|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|BC;Emissions|BC|Product Use;1
Emissions|BC;Emissions|BC|AFOLU|Agriculture;1
Emissions|BC;Emissions|BC|AFOLU|Agricultural Waste Burning;1
Emissions|BC;Emissions|BC|AFOLU|Land|Fires|Forest Burning;1
Emissions|BC;Emissions|BC|AFOLU|Land|Fires|Grassland Burning;1
Emissions|BC;Emissions|BC|AFOLU|Land|Fires|Peat Burning;1
Emissions|BC;Emissions|BC|AFOLU|Land|Wetlands;1
Emissions|BC;Emissions|BC|Waste;1
;;
## Total CH4;;
Emissions|CH4;Emissions|CH4|Energy|Supply;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Industry;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Other Sector;1
Emissions|CH4;Emissions|CH4|Industrial Processes;1
Emissions|CH4;Emissions|CH4|Other;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Bunkers|International Aviation;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Transportation;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Bunkers|International Shipping;1
Emissions|CH4;Emissions|CH4|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|CH4;Emissions|CH4|Product Use;1
Emissions|CH4;Emissions|CH4|AFOLU|Agriculture;1
Emissions|CH4;Emissions|CH4|AFOLU|Agricultural Waste Burning;1
Emissions|CH4;Emissions|CH4|AFOLU|Land|Fires|Forest Burning;1
Emissions|CH4;Emissions|CH4|AFOLU|Land|Fires|Grassland Burning;1
Emissions|CH4;Emissions|CH4|AFOLU|Land|Fires|Peat Burning;1
Emissions|CH4;Emissions|CH4|AFOLU|Land|Wetlands;1
Emissions|CH4;Emissions|CH4|Waste;1
;;
## Total CO;;
Emissions|CO;Emissions|CO|Energy|Supply;1
Emissions|CO;Emissions|CO|Energy|Demand|Industry;1
Emissions|CO;Emissions|CO|Energy|Demand|Other Sector;1
Emissions|CO;Emissions|CO|Industrial Processes;1
Emissions|CO;Emissions|CO|Other;1
Emissions|CO;Emissions|CO|Energy|Demand|Bunkers|International Aviation;1
Emissions|CO;Emissions|CO|Energy|Demand|Transportation;1
Emissions|CO;Emissions|CO|Energy|Demand|Bunkers|International Shipping;1
Emissions|CO;Emissions|CO|Energy|Demand|Residential and Commercial and AFOFI;1
Emissions|CO;Emissions|CO|Product Use;1
Emissions|CO;Emissions|CO|AFOLU|Agriculture;1
Emissions|CO;Emissions|CO|AFOLU|Agricultural Waste Burning;1
Emissions|CO;Emissions|CO|AFOLU|Land|Fires|Forest Burning;1
Emissions|CO;Emissions|CO|AFOLU|Land|Fires|Grassland Burning;1
Emissions|CO;Emissions|CO|AFOLU|Land|Fires|Peat Burning;1
Emissions|CO;Emissions|CO|AFOLU|Land|Wetlands;1
Emissions|CO;Emissions|CO|Waste;1
;;
## Total NH3;;
Emissions|NH3;Emissions|NH3|Energy|Supply;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Industry;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Other Sector;1
Emissions|NH3;Emissions|NH3|Industrial Processes;1
Emissions|NH3;Emissions|NH3|Other;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Bunkers|International Aviation;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Transportation;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Bunkers|International Shipping;1
Emissions|NH3;Emissions|NH3|Energy|Demand|Residential and Commercial and AFOFI;1
