idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
0;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
;Fertilizer Use|Nitrogen;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;;total nitrogen fertilizer use (organic + inorganic)
1;Fertilizer Use|Phosphorus;Tg P/yr;;;;;;;;;;;;;;;;;total phosphorus fertilizer use (organic + inorganic)
2;Fertilizer Use|Potassium;Tg K2O/yr;;;;;;;;;;;;;;;;;total potassium fertilizer use (organic + inorganic)
3;Fertilizer Use|Nitrogen|Inorganic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;;Total nitrogen inputs in inorganic fertilizer use
4;Fertilizer Use|Nitrogen|Organic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;;;Total nitrogen inputs in organic fertilizer use
