Tier;Category;variable;unit;Definition;piam_variable;piam_unit;piam_factor;Comment;idx;internal_comment;source
1;demography;Population;million;Total population;Population;million;1;;0;;R
3;demography;Population|Rural;million;Total population living in rural areas;;;;;0;;
3;demography;Population|Urban;million;Total population living in urban areas;;;;;0;;
3;demography;Population|Working Age;million;Total working age population (age 15-65 years);;;;;0;;
1;economy;Consumption;billion EUR2020/yr;total consumption of all goods, by all consumers in a region;Consumption;billion US$2005/yr;1.174;;0;;R
1;economy;GDP|MER;billion EUR2020/yr;GDP at market exchange rate;GDP|MER;billion US$2005/yr;1.174;;0;;R
3;economy;GDP|PPP;billion EUR2020/yr;GDP converted to International $ using purchasing power parity (PPP);GDP|PPP;billion US$2005/yr;1.174;;0;;R
2;economy;Gross Value Added|Agriculture;billion EUR2020/yr;gross value added of the agricultural sector;;;;;0;;
2;economy;Gross Value Added|Commercial;billion EUR2020/yr;gross value added of the commercial sector;;;;;0;;
2;economy;Gross Value Added|Industry;billion EUR2020/yr;gross value added of the industry sector;;;;;0;;
2;economy;Gross Value Added|Industry|Energy;billion EUR2020/yr;gross value added of the energy-related sectors;;;;;0;;
2;economy;Gross Value Added|Industry|Manufacturing;billion EUR2020/yr;gross value added of the manufacturing sectors;;;;;0;;
2;economy;Gross Value Added|Industry|Energy Intensive;billion EUR2020/yr;gross value added of the energy-intensive industries.;;;;;0;;
2;economy;Gross Value Added|Industry|Chemicals;billion EUR2020/yr;gross value added of the chemical industries.;Value Added|Industry|Chemicals;billion US$2005/yr;1.174;;0;;R
2;economy;Gross Value Added|Industry|Non-Metallic Minerals;billion EUR2020/yr;gross value added of non-metallic minerals industries;;;;;0;;
3;economy;Gross Value Added|Industry|Steel;billion EUR2020/yr;gross value added of the iron and steel sector;;;;;0;;
3;economy;Gross Value Added|Industry|Food and Tobacco;billion EUR2020/yr;gross value added of the food and tobacco sector;;;;;0;;
3;economy;Gross Value Added|Industry|Pulp and Paper;billion EUR2020/yr;gross value added of the pulp and paper sector;;;;;0;;
3;economy;Gross Value Added|Industry|Non-Ferrous metals;billion EUR2020/yr;gross value added of the non-ferrous metals sector;;;;;0;;
3;economy;Gross Value Added|Industry|Engineering;billion EUR2020/yr;gross value added of the engineering sector;;;;;0;;
3;economy;Gross Value Added|Industry|Vehicle Construction;billion EUR2020/yr;gross value added of the vehicle construction sector;;;;;0;;
3;economy;Gross Value Added|Industry|Other Sectors;billion EUR2020/yr;gross value added of all other sectors;Value Added|Industry|Other Industry;billion US$2005/yr;1.174;;0;;R
2;economy;Capital Formation;billion EUR2020/yr;net additions to the physical capital stock;;;;;0;;
3;economy;Expenditure|government;billion EUR2020/yr;total government expenditure;;;;;0;;
3;economy;Expenditure|household;billion EUR2020/yr;Total household expenditure;;;;;0;;
3;economy;Export;billion EUR2020/yr;total exports measured in monetary quantities.;;;;;0;;
3;economy;Import;billion EUR2020/yr;total imports measured in monetary quantities.;;;;;0;;
2;economy;Capital Stock;billion EUR2020/yr;Macroeconomic capital stock;Capital Stock|Non-ESM;billion US$2005;1.174;;0;;R
