Variable;Unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;exclude_remind2_validation
Carbon Capture;Mt CO2/yr;Carbon Management|Carbon Capture;Mt CO2/yr;1;;;;
Carbon Capture|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|+|Biomass|Pe2Se;Mt CO2/yr;1;;;;
Carbon Capture|Biomass;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Biomass;Mt CO2/yr;1;;;;
Carbon Capture|Direct Air Capture;Mt CO2/yr;Carbon Management|Carbon Capture|+|DAC;Mt CO2/yr;1;;;;
Carbon Capture|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|+|Fossil|Pe2Se;Mt CO2/yr;1;;;;
Carbon Capture|Fossil;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Fossil;Mt CO2/yr;1;;;;
Carbon Capture|Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;;;
Carbon Capture|Other;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Synfuel;Mt CO2/yr;1;;;;
Carbon Capture|Industry and Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Biomass;Mt CO2/yr;1;;;;
Carbon Capture|Industry and Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Fossil;Mt CO2/yr;1;;;;
Carbon Capture|Industry and Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|Industry Energy|+|Synfuel;Mt CO2/yr;1;;;;
Carbon Capture|Industry and Industrial Processes;Mt CO2/yr;Carbon Management|Carbon Capture|+|Industry Process;Mt CO2/yr;1;;;;
Carbon Capture|Storage;Mt CO2/yr;Carbon Management|Storage;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|+|Biomass|Pe2Se;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Biomass;Mt CO2/yr;Carbon Management|Storage|Industry Energy|+|Biomass;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Direct Air Capture;Mt CO2/yr;Carbon Management|Storage|+|DAC;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|+|Fossil|Pe2Se;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Fossil;Mt CO2/yr;Carbon Management|Storage|Industry Energy|+|Fossil;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Industrial Processes;Mt CO2/yr;Carbon Management|Storage|+|Industry Process;Mt CO2/yr;1;;;;
Carbon Capture|Storage|Other;Mt CO2/yr;Carbon Management|Storage|Industry Energy|+|Synfuel;Mt CO2/yr;1;;;;
Carbon Capture|Usage;Mt CO2/yr;Carbon Management|Usage;Mt CO2/yr;1;;;;
Carbon Capture|Usage|Gases;Mt CO2/yr;Carbon Management|Usage|+|Synthetic Gases;Mt CO2/yr;1;;;;
Carbon Capture|Usage|Liquids;Mt CO2/yr;Carbon Management|Usage|+|Synthetic Liquids;Mt CO2/yr;1;;;;
Carbon Capture|Usage|Materials;Mt CO2/yr;;;;;;;
Carbon Capture|Usage|Other;Mt CO2/yr;;;;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|EW;Mt CO2/yr;1;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|BECCS;Mt CO2/yr;1;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|DACCS;Mt CO2/yr;1;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|LULUCF national accounting;Mt CO2/yr;1;;;;
Carbon Removal;Mt CO2/yr;Emi|CO2|CDR|Industry CCS|Synthetic Fuels;Mt CO2/yr;1;;;;
Carbon Removal|Enhanced Weathering;Mt CO2/yr;Emi|CO2|CDR|EW;Mt CO2/yr;1;;;;
Carbon Removal|Geological Storage;Mt CO2/yr;Emi|CO2|CDR|BECCS;Mt CO2/yr;1;;;;
Carbon Removal|Geological Storage;Mt CO2/yr;Emi|CO2|CDR|DACCS;Mt CO2/yr;1;;;;
Carbon Removal|Geological Storage;Mt CO2/yr;Emi|CO2|CDR|Industry CCS|Synthetic Fuels;Mt CO2/yr;1;;;;
Carbon Removal|Land Use;Mt CO2/yr;Emi|CO2|CDR|LULUCF national accounting;Mt CO2/yr;1;;;;
Carbon Removal|Land Use|Afforestation;Mt CO2/yr;;;;;;;
Carbon Removal|Land Use|Biochar;Mt CO2/yr;;;;;;;
Carbon Removal|Land Use|Soil Carbon Management;Mt CO2/yr;;;;;;;
Carbon Removal|Materials;Mt CO2/yr;;;;;;;
Carbon Removal|Materials|Other;Mt CO2/yr;;;;;;;
Carbon Removal|Materials|Plastics;Mt CO2/yr;;;;;;;
Carbon Removal|Materials|Timber;Mt CO2/yr;;;;;;;
